title,alcohol_reference,cartoon_violence,fantasy_violence,intense_violence,mild_fantasy_violence,mild_cartoon_violence,mild_violence,drug_reference,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating
"Apex Construct",0,0,1,0,0,0,0,0,0,0,0,ET
"Apex Legends",0,0,0,0,0,0,0,0,0,0,0,T
"Apex Legends - Bloodhound Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Apex Legends - Lifeline Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Apex Legends - Octane Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Apex Legends - Pathfinder Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Apocalypse Rider",0,0,0,0,0,0,0,0,0,0,0,E
"Aquanox Deep Descent",0,0,0,0,0,0,0,0,0,0,0,T
"Aragami: Shadow Edition",0,0,0,0,0,0,0,0,0,0,0,M
"Arc of Alchemist",0,0,1,0,0,0,0,0,0,0,0,ET
"Arcade Archives 10-Yard Fight",0,0,0,0,0,0,0,0,0,0,0,E
"Arcade Archives ARGUS",0,0,0,0,1,0,0,0,0,0,0,E
"Arcade Archives ELEVATOR ACTION",0,0,1,0,0,0,0,0,0,0,0,ET
"Arcade Archives HAUNTED CASTLE",0,0,0,1,0,0,0,0,0,0,0,T
"Arcade Archives HEROIC EPISODE",0,0,1,0,0,0,0,0,0,0,0,ET
"Arcade Archives MOON PATROL",0,0,0,0,1,0,0,0,0,0,0,E
"Arcade Archives OMEGA FIGHTER",0,0,0,0,1,0,0,0,0,0,0,E
"Arcade Archives THE NINJA WARRIORS",0,0,0,0,0,0,0,0,0,0,0,T
"Arcade Archives Traverse USA",0,0,0,0,0,0,0,0,0,0,0,E
"Arcade Islands: Volume One",0,0,1,0,0,0,0,0,0,0,0,ET
"Arcade Spirits",0,0,0,0,0,0,0,1,0,0,1,T
"Arcas Path",0,0,1,0,0,0,0,0,0,0,0,ET
"Ark Park",0,0,0,0,0,0,0,0,0,0,0,T
Armello,1,0,0,1,0,1,1,0,0,0,0,ET
"Armored Warfare",0,0,0,0,0,0,0,0,0,0,1,T
"Art of Fighting Anthology ",0,0,0,0,0,0,1,0,0,0,0,T
"Ary and the Secret of Seasons",0,0,0,1,0,0,0,0,0,0,1,ET
"Asdivine Dios",0,0,1,0,0,0,0,0,0,0,0,ET
"Asdivine Hearts II",0,0,0,1,0,0,0,1,0,0,0,T
"Asdivine Kamura",0,0,1,0,0,0,0,0,0,1,0,ET
"Asdivine Menace",0,0,1,0,0,0,0,0,0,0,1,T
"Asemblance: Oversight",0,0,0,0,0,0,0,0,0,0,0,T
"Ashes Cricket",0,0,0,0,0,0,0,0,0,0,0,E
"Assassins Creed III Remastered ",0,0,0,1,0,0,0,0,0,0,0,M
"Assassins Creed Odyssey ",0,0,0,1,0,0,0,0,0,0,0,M
"Assassins Creed Origins ",0,0,0,0,0,0,0,1,0,0,0,M
"Assassins Creed Rogue Remastered",0,0,0,0,0,0,0,0,0,0,0,M
"Assassins Creed Valhalla",0,0,0,1,0,0,0,0,0,0,0,M
"ASSAULT GUNNERS HD EDITION",0,0,1,0,0,0,0,0,0,0,0,ET
"Assetto Corsa Competizione",0,0,0,0,0,0,0,0,0,0,0,E
"AstÃ©rix & ObÃ©lix XXL 2",1,0,0,0,0,0,0,0,0,0,0,ET
"Asterix & Obelix XXL 3 â€“ The Crystal Menhir",0,1,0,0,0,0,0,0,0,1,0,ET
"Astro Bot Rescue Mission",0,0,0,1,0,0,0,0,0,0,0,ET
Astroneer,0,0,0,0,1,0,0,0,0,0,0,E
"At Sundown",0,0,0,0,0,0,0,0,0,0,0,T
"Atari Flashback Classics Volume 3",0,0,0,0,0,1,0,0,0,0,0,E
"Atelier Lulua ~The Scion of Arland~",0,0,1,0,0,0,0,0,0,1,0,T
"Atelier Lydie and Suelle: The Alchemists and the Mysterious Paintings",0,0,1,0,0,0,1,0,1,0,0,T
"Atelier Ryza 2: Lost Legends & the Secret Fairy",0,0,1,0,0,0,0,0,0,0,1,T
"Atelier Ryza: Ever Darkness & the Secret Hideout",1,0,0,1,0,0,1,0,0,0,0,T
ATOMINE,0,0,0,0,1,0,0,0,0,0,0,E
"Attack of the Earthlings",0,0,0,0,0,0,0,0,0,0,0,T
"Attack on Titan 2",0,0,0,0,0,0,0,0,0,0,0,M
"ATV Drift & Tricks",0,0,0,0,0,0,0,0,0,0,0,E
AUDIOBEATS,0,0,0,0,0,0,0,0,0,0,0,E
"AVICII Invector",0,0,0,0,0,0,0,0,0,0,0,T
"Away: Journey to the Unexpected",0,0,0,1,0,0,0,0,0,0,0,T
Awkward,0,0,1,0,0,0,0,0,0,0,0,M
"Axis Football 2018",0,0,0,0,0,0,0,0,0,0,0,E
"Azur Lane: Crosswave",0,0,1,0,0,0,0,0,0,0,0,T
"Azure Reflections",0,0,0,0,0,0,0,0,0,0,1,T
"Azure Striker GUNVOLT: STRIKER PACK",0,0,1,0,0,0,1,0,0,0,0,T
"Bad North",0,0,0,0,0,0,0,0,0,0,0,T
"BALAN WONDERWORLD",0,0,1,0,0,0,0,0,0,0,0,ET
"Baldurs Gate Enhanced Edition",1,1,0,0,0,0,0,0,0,0,0,T
"Baldurs Gate: Enhanced Edition / Baldurs Gate II: Enhanced Edition",1,1,0,0,0,0,0,0,0,0,0,T
"Banner Saga 2",1,0,0,0,0,0,0,0,0,0,0,T
"Banner Saga 3",1,0,0,0,0,0,0,0,0,0,0,T
Bastion,0,0,0,1,0,0,0,0,0,0,0,ET
"Batman: The Enemy Within - Episode 2: The Pact",0,0,0,0,0,0,0,0,0,0,0,M
"Batman: The Enemy Within - Episode 3: Fractured Mask",0,0,1,0,0,0,0,0,0,0,0,T
"Batman: The Enemy Within - Episode 4: What Ails You",0,0,0,0,0,0,0,0,0,0,0,M
"Batman: The Enemy Within - Episode 5: Same Stitch",0,0,0,0,0,0,0,0,0,0,0,M
"Battle Chef Brigade Deluxe",1,0,0,1,0,0,1,0,0,0,0,ET
"BATTLE GAREGGA REV.2016",0,0,0,0,1,0,0,0,0,0,0,E
"Battle Princess Madelyn",0,0,1,0,0,0,0,0,0,0,0,ET
"Battlefield V",0,0,0,0,0,0,0,0,0,0,0,M
"Battlestar Galactica Deadlock",0,0,1,0,0,0,0,0,0,0,0,ET
Bayonetta,0,0,0,1,0,0,0,0,0,0,0,M
"Beast Quest",0,0,1,0,0,0,0,0,0,0,0,ET
"Beat Saber",0,0,0,0,0,0,0,0,0,0,0,E
"Bee Simulator",0,0,0,0,1,0,0,0,0,0,0,E
"Beholder 2",0,0,0,1,0,0,0,1,0,0,0,M
"Beholder Complete Edition",0,0,1,0,0,0,0,0,0,0,0,T
"Ben 10",0,1,0,0,0,0,0,0,0,0,0,ET
"Ben 10: Power Trip",0,1,0,0,0,0,0,0,0,0,0,ET
"Bendy and the Ink Machine ",0,0,0,0,0,0,0,0,0,0,1,T
"Bibi & Tina at the Horse Farm",0,0,0,0,0,0,0,0,0,0,0,E
"BioShock: 10th Anniversary Edition",0,0,0,0,0,0,0,1,0,0,0,M
Biped,0,0,0,0,0,0,0,0,0,0,0,E
Birdcakes,0,0,1,0,0,0,0,0,0,0,0,ET
"Black Clover: Quartet Knights",0,0,0,0,0,0,0,0,0,0,0,T
"Black Desert",0,0,0,0,0,0,0,0,0,0,1,T
"Black Desert Prestige Edition",0,0,0,0,0,0,0,0,0,0,1,T
"Black Hat Cooperative",0,0,0,0,0,0,0,0,0,0,0,E
"Black Mirror",0,0,0,0,0,0,0,0,0,0,0,M
"Blackguards 2",0,0,0,0,0,0,0,0,0,0,0,M
"BLACKHOLE: Complete Edition",0,0,0,1,0,0,0,1,0,0,0,T
"Blacksad: Under the Skin",0,0,0,1,0,0,0,0,0,0,0,M
"Blade Strangers",0,0,0,0,0,0,0,0,0,0,0,T
"Bladed Fury",0,0,1,0,0,0,0,0,0,0,0,T
"Blair Witch",0,0,0,1,0,0,0,0,0,0,0,M
Blasphemous,0,0,0,0,0,0,0,0,0,0,0,M
"Blaster Master Zero",0,0,0,0,1,0,0,0,0,0,0,E
"Blaster Master Zero 2",0,0,0,0,1,0,0,0,0,0,0,ET
"Blasters of the Universe",0,0,0,1,0,0,0,0,0,0,0,T
"BlazBlue: Cross Tag Battle",0,0,0,0,0,0,0,0,0,0,0,T
"Blazing Chrome",0,0,0,1,0,0,0,0,0,0,0,T
"Bleed 2",0,0,0,0,0,0,0,0,0,0,0,T
Blightbound,0,0,0,0,0,0,0,0,0,0,0,T
"Blood & Truth",0,0,0,0,0,0,0,0,0,0,1,M
"Bloodstained:  Ritual of the Night",0,0,0,0,0,0,0,0,0,0,0,T
"Bloodstained: Curse of the Moon",0,0,0,1,0,0,0,0,0,0,0,T
"Bloody Zombies",0,0,0,0,0,0,0,0,0,0,0,M
"Blue Angels Aerobatic Flight Simulator",0,0,0,0,0,0,0,0,0,0,0,E
"Boiling Bolt",0,0,0,0,1,0,0,0,0,0,0,E
"Bomb Chicken",0,0,1,0,0,0,0,0,0,0,0,ET
"Bomber Crew",0,0,1,0,0,0,0,0,0,0,0,ET
"Bomber Crew: Complete Edition",0,0,1,0,0,0,0,0,0,0,0,ET
"Bonds of the Skies",1,0,1,0,0,0,0,0,0,0,0,ET
"Borderlands 2 VR",0,0,0,1,0,0,0,0,0,1,0,M
"Borderlands 3",0,0,0,1,0,0,0,0,0,0,0,M
"Borderlands Game of the Year",0,0,0,1,1,0,0,0,0,0,0,M
Boundless,0,0,1,0,0,0,0,0,0,0,0,ET
"Bounty Battle",0,0,1,0,0,0,0,0,0,0,0,ET
"Bow To Blood",1,0,0,1,0,0,0,0,0,0,0,ET
"Boxing Apocalypse",0,0,0,0,0,0,0,0,0,0,0,T
BoxVR,0,0,0,0,0,0,0,0,0,0,0,ET
"Bravo Team",0,0,0,0,0,0,0,0,0,0,0,T
Brawlout,0,0,1,0,0,0,0,0,0,0,0,ET
"Bridge Constructor Portal",0,0,1,0,0,0,0,0,0,0,0,ET
"Bridge Constructor Portal ",0,0,1,0,0,0,0,0,0,0,0,ET
"Brigandine: The Legend of Runersia",0,0,1,0,0,0,0,0,0,0,0,T
"BRIKS 2",0,0,0,0,0,0,0,0,0,0,0,M
"Bubble Bobble 4 Friends: The Baron is Back!",0,0,0,0,0,1,0,0,0,0,0,E
"Bubsy: Paws On Fire!",0,0,0,0,0,1,0,0,0,0,0,E
"Bubsy: The Woolies Strike Back",0,0,0,0,0,1,0,0,0,0,0,E
"Bud Spencer & Terence Hill - Slaps And Beans",0,0,1,0,0,0,0,0,0,1,0,T
"Budget Cuts",0,0,1,0,0,0,0,0,0,0,0,T
"BugsBox VR",0,0,0,0,1,0,0,0,0,0,0,E
Bugsnax,0,0,0,0,0,0,0,1,0,0,1,ET
"Bulb Boy",0,0,0,0,0,0,0,0,0,0,1,T
"Bunny Must Die! Chelsea and the 7devils.",0,0,1,0,0,0,0,0,0,0,0,T
"Burly Men at Sea",0,0,1,0,0,0,0,0,0,0,0,ET
"Burnout Paradise Remastered",0,0,0,0,0,0,1,0,0,0,0,ET
"Bus Simulator",0,0,0,0,0,0,0,0,0,0,0,E
"Bus Simulator 21",0,0,0,0,0,0,0,0,0,0,0,E
BUTCHER,0,0,0,0,0,0,0,0,0,0,0,M
"Butter & Friends: Babysitter Sim",0,0,0,0,0,0,0,0,0,0,0,E
"Call of Cthulhu",0,0,0,1,0,0,0,0,0,0,0,M
"Call of Duty: Warzone",0,0,0,0,0,0,0,0,0,0,0,M
"Call of DutyÂ®: Black Ops 4",0,0,1,1,0,0,0,0,0,0,0,M
"Call of DutyÂ®: Black Ops Cold War",0,0,0,0,0,0,0,1,0,0,0,M
"Call of DutyÂ®: Modern Warfare 2 Campaign Remastered",0,0,0,1,0,0,0,0,0,0,0,M
"Call of DutyÂ®: Modern WarfareÂ®",0,0,0,1,0,0,0,0,0,0,0,M
"Call of DutyÂ®: WWII",0,0,0,1,0,0,0,0,0,0,0,M
"Candle: The Power of the Flame",0,0,1,0,0,0,0,0,0,0,0,ET
"Capcom Beat em Up Bundle",0,0,0,0,0,0,0,0,0,0,1,T
"CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS",0,0,0,0,0,0,0,0,0,0,0,ET
"Car Mechanic Simulator",0,0,0,0,0,0,0,0,0,0,0,E
"Carnival Games",0,1,0,0,0,0,0,0,0,0,0,ET
"CarX Drift Racing Online",0,0,0,0,0,0,0,0,0,0,0,E
"Casey Powell Lacrosse 18",0,0,0,0,0,0,0,0,0,0,0,E
"Castaway Paradise",0,0,0,0,0,0,0,0,0,0,0,E
"Castlevania Anniversary Collection",0,0,0,1,0,0,0,0,0,0,0,T
"Castlevania Requiem: Symphony of the Night & Rondo of Blood",0,0,0,0,0,0,0,0,0,0,0,T
"CAT Interstellar",0,0,1,0,0,0,0,0,0,0,0,ET
"Cat Quest II",0,0,1,0,0,0,0,0,0,0,0,ET
Catastronauts,0,0,1,0,0,0,0,0,0,0,0,ET
"Catch & Release",0,0,0,0,0,0,0,0,1,0,0,T
"Catherine: Full Body",0,0,0,0,0,0,0,0,0,0,0,M
"Caveman Warriors",0,0,1,0,0,0,0,0,0,0,0,ET
Celeste,1,0,0,1,0,0,0,0,0,0,0,ET
"Chaos on Deponia",0,1,0,0,0,0,0,0,0,0,0,T
Chariot,0,0,0,0,1,0,0,0,0,0,0,E
Chasm,0,0,1,0,0,0,0,0,0,0,0,T
"Chicken Assassin: Reloaded",0,0,1,0,0,0,0,0,0,0,0,T
"Chicken Range",0,0,0,0,0,0,1,0,0,0,0,ET
"Children of Morta",0,0,0,0,0,0,0,0,0,0,0,T
"Children of Zodiarcs",0,0,0,0,0,0,0,0,0,0,0,T
"Chronos: Before the Ashes",0,0,0,0,0,0,0,0,0,0,0,T
"Chronus Arc",0,0,1,0,0,0,0,0,0,0,0,ET
Circuits,0,0,0,0,0,0,0,0,0,0,0,E
"Citadel: Forged with Fire",0,0,0,0,0,0,0,0,0,0,0,T
"Cities: Skylines Parklife Edition",0,0,0,0,0,0,0,0,0,0,0,E
"City of Brass",0,0,0,0,0,0,0,0,0,0,1,T
"Claire: Extended Cut",0,0,0,0,0,0,0,0,0,0,0,M
CLANNAD,0,0,0,0,0,0,0,1,0,0,0,T
Claybook,0,0,0,0,0,0,0,0,0,0,0,E
"Close to the Sun",0,0,0,1,0,0,0,0,0,0,0,M
Cloudpunk,0,0,0,0,0,0,0,1,0,0,0,M
"Cluster Tumble",0,0,0,0,0,0,0,0,0,0,0,T
Clustertruck,0,0,0,0,0,0,1,0,0,0,0,E
"Cobra Kai: The Karate Kid Saga Continues",1,0,0,0,0,0,1,0,0,0,0,T
"CODE VEIN",0,0,0,0,0,0,0,0,0,0,0,M
"Code: Realize ~Bouquet of Rainbows~",0,0,1,0,0,0,0,0,0,0,0,T
"Code: Realize ~Wintertide Miracles~",0,0,0,0,0,0,1,0,0,0,0,T
"Code51: Mecha Arena",0,0,1,0,0,0,0,0,0,0,0,T
"Cold Iron",0,0,0,0,0,0,0,0,0,0,1,T
"COMMANDOS 2 & PRAETORIANS: HD REMASTER DOUBLE PACK",0,0,0,0,0,0,1,0,0,0,1,T
"Conan Exiles",0,0,0,1,0,0,0,0,0,1,0,M
Conarium,0,0,1,0,0,0,0,0,0,0,0,T
"Conception PLUS: Maidens of the Twelve Stars",0,0,1,0,0,0,0,0,0,0,0,M
"Concrete Genie",0,0,1,0,0,0,0,0,0,0,0,ET
"Construction Simulator 2 Console Edition",0,0,0,0,0,0,0,0,0,0,0,E
"Constructor Plus",0,0,0,1,0,0,0,1,0,0,0,T
"Contra Anniversary Collection",0,0,1,0,0,0,0,0,0,0,0,ET
"CONTRA ROGUE CORPS",0,0,0,0,0,0,0,0,0,0,0,M
Control,0,0,0,0,0,0,0,0,0,0,0,M
"Cooking Mama: Cookstar",0,0,0,0,0,0,0,0,0,0,0,E
CoolpaintrVR,0,0,0,0,0,0,0,0,0,0,0,E
"Corpse Killer",0,0,0,0,0,0,0,0,0,0,0,M
"Cosmic Star Heroine",0,0,0,1,0,0,0,0,0,0,0,T
"Costume Quest 2",0,0,1,0,0,0,0,0,0,0,0,ET
"Crash Bandicootâ„¢ 4: Its About Time",1,0,0,0,0,0,0,0,0,0,0,ET
"Crashâ„¢ Team Racing Nitro-Fueled",0,1,0,0,0,0,0,0,0,0,0,ET
Crawl,0,0,0,0,0,0,0,0,0,0,0,T
"Crayola Scoot",0,0,0,0,0,0,0,0,0,0,0,E
"Creature in the Well",0,0,0,0,1,0,0,0,0,0,0,E
"Creed: Rise to Glory",0,0,0,0,0,0,0,0,0,0,0,T
"Crisis on the Planet of the Apes",0,0,0,1,0,0,0,0,0,0,0,M
"Croixleur Sigma",0,0,1,0,0,0,0,0,0,0,0,ET
CrossCode,0,0,1,0,0,0,0,0,0,0,0,T
"Crossing Souls",0,0,0,0,0,0,0,1,0,0,0,M
"CROSSING SOULS",0,0,0,0,0,0,0,1,0,0,0,M
"Cruz Brothers",0,0,0,0,0,0,0,0,0,0,0,M
"Crypt of the NecroDancer",0,0,0,1,0,0,0,0,0,0,0,T
Cryptract,0,0,0,0,0,0,0,1,0,0,0,T
"Crysis Remastered",0,0,0,0,0,0,0,0,0,0,0,M
"Crystal Crisis",0,0,1,0,0,0,0,0,0,0,0,ET
CRYSTAR,0,0,0,0,0,0,1,0,0,0,0,T
"Cyberpunk 2077",0,0,0,1,0,0,0,0,0,0,1,M
"Dakar 18",0,0,0,0,0,0,0,0,0,0,0,E
"Damascus Gear Operation Osaka HD Edition",0,0,1,0,0,0,0,0,0,0,0,T
"Damascus Gear: Operation Osaka ",0,0,1,0,0,0,0,0,0,0,0,T
"Damascus Gear: Operation Tokyo",0,0,0,0,0,0,0,0,0,0,0,T
"DAN-GUN Feveron",0,0,0,0,1,0,0,0,0,0,0,E
Dandara,0,0,1,0,0,0,0,0,0,0,0,ET
"Danganronpa V3: Killing Harmony",0,0,1,0,0,0,0,0,0,0,0,M
